level,name,Total population,Population under age 18,Percent under age 18,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,Latino population,Percent Latino,White population,Percent white,Black population,Percent black,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with 1+ vehicles,"Percent of households, 1+ vehicles",Adults ages 25+,Adults without high school diploma,"Percent of adults, no high school diploma",Adults with bachelor's or higher,"Percent of adults, bachelor's or higher",Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
4_towns,Orange,13937,2967,0.213,3023,0.217,6647,0.477,7290,0.523,272,0.02,12123,0.87,255,0.018,1287,0.092,1546,0.111,4939,4361,0.883,1514,0.311,4714,0.954,9923,348,0.035,5677,0.572,117215,13876,474,0.034,1449,0.104,2967,36,0.012,186,0.063,2974,128,0.043,383,0.129
4_towns,Oxford,13022,2964,0.228,2345,0.18,6457,0.496,6565,0.504,531,0.041,11860,0.911,447,0.034,184,0.014,738,0.057,4510,4162,0.923,1206,0.271,4353,0.965,9185,361,0.039,3531,0.384,106047,12983,293,0.023,1605,0.124,2925,44,0.015,365,0.125,2345,65,0.028,289,0.123
4_towns,Prospect,9736,1998,0.205,1897,0.195,4876,0.501,4860,0.499,484,0.05,8566,0.88,515,0.053,171,0.018,674,0.069,3367,2930,0.87,812,0.244,3260,0.968,7027,500,0.071,2390,0.34,100524,9601,245,0.026,1015,0.106,1989,49,0.025,312,0.157,1779,50,0.028,235,0.132
4_towns,Seymour,16522,3610,0.218,2357,0.143,8225,0.498,8297,0.502,2649,0.16,13077,0.791,391,0.024,405,0.025,1522,0.092,6239,4494,0.72,2027,0.334,5970,0.957,11283,642,0.057,3239,0.287,70941,16331,682,0.042,2894,0.177,3555,140,0.039,842,0.237,2226,75,0.034,420,0.189
4_towns,Southbury,19754,4066,0.206,5750,0.291,9524,0.482,10230,0.518,901,0.046,17863,0.904,245,0.012,745,0.038,1152,0.058,7900,6768,0.857,2759,0.361,7406,0.937,14618,884,0.06,7562,0.517,94176,19489,1197,0.061,2650,0.136,4021,235,0.058,513,0.128,5537,519,0.094,1224,0.221
4_towns,Wallingford,44771,7125,0.159,9509,0.212,20878,0.466,23893,0.534,3326,0.074,38293,0.855,692,0.015,2460,0.055,3587,0.08,18518,13505,0.729,4810,0.269,17290,0.934,34179,2548,0.075,12445,0.364,79420,43784,1925,0.044,5043,0.115,7108,442,0.062,1026,0.144,8774,412,0.047,1540,0.176
4_towns,Waterbury,108672,27413,0.252,14108,0.13,51814,0.477,56858,0.523,39938,0.368,41211,0.379,20444,0.188,7079,0.065,17911,0.165,40579,17304,0.426,19255,0.498,32279,0.795,70271,14065,0.2,11090,0.158,41617,106834,24580,0.23,49911,0.467,26972,8884,0.329,16889,0.626,13441,1792,0.133,5647,0.42
4_towns,West Haven,54918,11163,0.203,7514,0.137,27594,0.502,27324,0.498,12952,0.236,27252,0.496,10496,0.191,4218,0.077,10094,0.184,19576,10750,0.549,8766,0.458,17354,0.886,36270,4704,0.13,8904,0.245,58112,51789,6661,0.129,16546,0.319,11044,1980,0.179,4836,0.438,7266,415,0.057,1875,0.258
4_towns,Wolcott,16652,3429,0.206,2966,0.178,8413,0.505,8239,0.495,1082,0.065,14636,0.879,468,0.028,466,0.028,1255,0.075,5880,4947,0.841,1510,0.264,5783,0.984,11704,862,0.074,3315,0.283,86786,16510,918,0.056,2235,0.135,3423,120,0.035,538,0.157,2864,162,0.057,415,0.145
4_towns,Woodbridge,8868,2083,0.235,2101,0.237,4383,0.494,4485,0.506,496,0.056,6631,0.748,239,0.027,1502,0.169,1725,0.195,2931,2610,0.89,950,0.336,2870,0.979,6431,353,0.055,4224,0.657,142188,8778,381,0.043,766,0.087,2083,99,0.048,162,0.078,2020,99,0.049,247,0.122
4_towns,Bozrah,2567,433,0.169,518,0.202,1289,0.502,1278,0.498,23,0.009,2338,0.911,68,0.026,138,0.054,82,0.032,989,851,0.86,169,0.174,984,0.995,1873,102,0.054,560,0.299,87109,2561,99,0.039,414,0.162,427,6,0.014,80,0.187,518,3,0.006,119,0.23
4_towns,Colchester,15927,3748,0.235,2158,0.135,8008,0.503,7919,0.497,574,0.036,14390,0.903,248,0.016,715,0.045,691,0.043,5973,4541,0.76,1710,0.289,5815,0.974,11001,498,0.045,4403,0.4,103380,15737,1080,0.069,2248,0.143,3738,460,0.123,859,0.23,1996,99,0.05,248,0.124
4_towns,East Lyme,18766,3170,0.169,4255,0.227,8833,0.471,9933,0.529,1220,0.065,15401,0.821,729,0.039,1416,0.075,1477,0.079,7287,5687,0.78,2091,0.292,7111,0.976,14278,847,0.059,6482,0.454,93416,16928,1100,0.065,2399,0.142,3102,359,0.116,656,0.211,4089,193,0.047,570,0.139
4_towns,Franklin,1842,350,0.19,357,0.194,952,0.517,890,0.483,62,0.034,1723,0.935,16,0.009,41,0.022,55,0.03,722,619,0.857,164,0.233,703,0.974,1341,68,0.051,359,0.268,94000,1838,90,0.049,322,0.175,346,20,0.058,110,0.318,357,13,0.036,71,0.199
4_towns,Griswold,11693,2753,0.235,1782,0.152,6074,0.519,5619,0.481,285,0.024,10138,0.867,202,0.017,1068,0.091,628,0.054,4564,3369,0.738,1369,0.307,4400,0.964,7727,984,0.127,1439,0.186,62542,11596,1198,0.103,3311,0.286,2661,472,0.177,1003,0.377,1782,22,0.012,449,0.252
4_towns,Groton,39105,7754,0.198,5470,0.14,20749,0.531,18356,0.469,5259,0.134,27470,0.702,2728,0.07,3648,0.093,3392,0.087,15703,7614,0.485,5861,0.384,14447,0.92,25225,1476,0.059,9123,0.362,66999,35890,3620,0.101,9319,0.26,7655,1448,0.189,3035,0.396,5170,299,0.058,1118,0.216
