level,name,Total population,Population under age 18,Percent under age 18,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,Latino population,Percent Latino,White population,Percent white,Black population,Percent black,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with 1+ vehicles,"Percent of households, 1+ vehicles",Adults ages 25+,Adults without high school diploma,"Percent of adults, no high school diploma",Adults with bachelor's or higher,"Percent of adults, bachelor's or higher",Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
4_towns,Lebanon,7256,1442,0.199,1245,0.172,3902,0.538,3354,0.462,169,0.023,6849,0.944,31,0.004,207,0.029,178,0.025,2847,2590,0.91,836,0.301,2847,1,5480,204,0.037,2098,0.383,95757,7245,322,0.044,1088,0.15,1431,37,0.026,286,0.2,1245,74,0.059,277,0.222
4_towns,Ledyard,14850,3252,0.219,2175,0.146,7517,0.506,7333,0.494,782,0.053,12181,0.82,306,0.021,1581,0.106,749,0.05,5795,4684,0.808,1136,0.2,5750,0.992,10530,213,0.02,4464,0.424,91268,14811,647,0.044,2125,0.143,3214,215,0.067,765,0.238,2175,45,0.021,240,0.11
4_towns,Lisbon,4272,795,0.186,716,0.168,2105,0.493,2167,0.507,72,0.017,4025,0.942,11,0.003,164,0.038,166,0.039,1682,1450,0.862,269,0.167,1653,0.983,3027,124,0.041,612,0.202,88553,4267,87,0.02,241,0.056,795,6,0.008,16,0.02,716,49,0.068,135,0.189
4_towns,Lyme,2469,411,0.166,728,0.295,1240,0.502,1229,0.498,58,0.023,2330,0.944,40,0.016,41,0.017,211,0.085,1060,921,0.869,348,0.335,1035,0.976,1877,86,0.046,1152,0.614,96146,2469,56,0.023,335,0.136,411,0,0,84,0.204,728,12,0.016,106,0.146
4_towns,Montville,19094,3309,0.173,3258,0.171,10348,0.542,8746,0.458,1495,0.078,14371,0.753,977,0.051,2251,0.118,1653,0.087,6749,5612,0.832,1972,0.299,6657,0.986,14318,1545,0.108,2937,0.205,73765,17442,1490,0.085,3388,0.194,3278,314,0.096,891,0.272,3117,164,0.053,487,0.156
4_towns,New London,27032,4999,0.185,2949,0.109,13339,0.493,13693,0.507,9375,0.347,11931,0.441,3561,0.132,2165,0.08,4282,0.158,10975,3832,0.349,5130,0.488,8806,0.802,16054,2795,0.174,3919,0.244,39675,23272,6759,0.29,11225,0.482,4980,2312,0.464,3489,0.701,2753,448,0.163,925,0.336
4_towns,North Stonington,5242,1154,0.22,1060,0.202,2703,0.516,2539,0.484,96,0.018,4520,0.862,96,0.018,530,0.101,183,0.035,2038,1739,0.853,633,0.321,1991,0.977,3782,211,0.056,1284,0.34,76985,5237,164,0.031,1089,0.208,1150,22,0.019,344,0.299,1060,0,0,194,0.183
4_towns,Norwich,39567,8450,0.214,6402,0.162,19207,0.485,20360,0.515,5647,0.143,24041,0.608,4154,0.105,5725,0.145,5803,0.147,16271,8276,0.509,5989,0.374,14668,0.901,27743,3765,0.136,5778,0.208,55391,39221,5515,0.141,12914,0.329,8319,1574,0.189,3514,0.422,6231,664,0.107,2129,0.342
4_towns,Old Lyme,7431,1434,0.193,2006,0.27,3671,0.494,3760,0.506,347,0.047,6844,0.921,70,0.009,170,0.023,512,0.069,3189,2581,0.809,868,0.276,3151,0.988,5648,232,0.041,3023,0.535,92383,7431,216,0.029,799,0.108,1434,34,0.024,147,0.103,2006,55,0.027,252,0.126
4_towns,Preston,4666,956,0.205,891,0.191,2187,0.469,2479,0.531,43,0.009,3972,0.851,38,0.008,613,0.131,384,0.082,1835,1610,0.877,608,0.341,1782,0.971,3351,248,0.074,792,0.236,75568,4666,340,0.073,937,0.201,956,134,0.14,242,0.253,891,52,0.058,239,0.268
4_towns,Salem,4126,910,0.221,685,0.166,2038,0.494,2088,0.506,161,0.039,3658,0.887,129,0.031,178,0.043,189,0.046,1604,1483,0.925,423,0.264,1574,0.981,3001,135,0.045,1377,0.459,113000,4108,111,0.027,301,0.073,910,0,0,0,0,685,26,0.038,158,0.231
4_towns,Sprague,2929,592,0.202,444,0.152,1451,0.495,1478,0.505,133,0.045,2550,0.871,42,0.014,204,0.07,90,0.031,1187,788,0.664,360,0.305,1133,0.955,2103,152,0.072,417,0.198,65688,2929,360,0.123,831,0.284,592,127,0.215,288,0.486,444,20,0.045,92,0.207
4_towns,Stonington,18436,3205,0.174,4457,0.242,8841,0.48,9595,0.52,754,0.041,16763,0.909,205,0.011,714,0.039,910,0.049,8100,5942,0.734,2478,0.313,7798,0.963,13933,767,0.055,6551,0.47,79250,18128,1572,0.087,2910,0.161,3172,570,0.18,744,0.235,4295,215,0.05,655,0.153
4_towns,Voluntown,2559,505,0.197,440,0.172,1222,0.478,1337,0.522,64,0.025,2398,0.937,0,0,97,0.038,69,0.027,1007,824,0.818,286,0.305,987,0.98,1860,113,0.061,360,0.194,75673,2559,178,0.07,506,0.198,505,18,0.036,142,0.281,440,35,0.08,116,0.264
4_towns,Waterford,19052,3587,0.188,4324,0.227,9027,0.474,10025,0.526,1143,0.06,16292,0.855,568,0.03,1049,0.055,1256,0.066,7825,6446,0.824,2110,0.276,7492,0.957,14069,685,0.049,5615,0.399,85438,18557,1136,0.061,3001,0.162,3493,229,0.066,671,0.192,4025,252,0.063,719,0.179
4_towns,Andover,3223,627,0.195,405,0.126,1517,0.471,1706,0.529,107,0.033,3007,0.933,68,0.021,41,0.013,79,0.025,1235,1079,0.874,269,0.218,1203,0.974,2310,107,0.046,924,0.4,101098,3223,72,0.022,308,0.096,627,0,0,92,0.147,405,0,0,45,0.111
4_towns,Bolton,4928,1060,0.215,955,0.194,2400,0.487,2528,0.513,339,0.069,4379,0.889,58,0.012,152,0.031,349,0.071,1803,1610,0.893,458,0.255,1717,0.952,3432,215,0.063,1580,0.46,105417,4917,230,0.047,489,0.099,1049,36,0.034,72,0.069,955,44,0.046,64,0.067
4_towns,Columbia,5421,1043,0.192,1045,0.193,2860,0.528,2561,0.472,452,0.083,4910,0.906,7,0.001,52,0.01,175,0.032,2073,1918,0.925,370,0.179,2035,0.982,3955,101,0.026,1806,0.457,106604,5421,124,0.023,523,0.096,1043,28,0.027,113,0.108,1045,25,0.024,188,0.18
4_towns,Coventry,12422,2624,0.211,1889,0.152,6038,0.486,6384,0.514,524,0.042,11580,0.932,46,0.004,272,0.022,361,0.029,4774,4246,0.889,1109,0.234,4746,0.994,8691,213,0.025,3695,0.425,91461,12415,454,0.037,1618,0.13,2617,99,0.038,398,0.152,1889,22,0.012,163,0.086
4_towns,Ellington,16041,3510,0.219,2140,0.133,8362,0.521,7679,0.479,803,0.05,13781,0.859,234,0.015,1223,0.076,1126,0.07,7141,4540,0.636,1960,0.28,6856,0.96,11267,486,0.043,5093,0.452,85572,16040,573,0.036,1830,0.114,3509,117,0.033,252,0.072,2140,117,0.055,532,0.249
4_towns,Hebron,9522,2159,0.227,1420,0.149,4760,0.5,4762,0.5,134,0.014,9063,0.952,23,0.002,302,0.032,387,0.041,3476,3318,0.955,779,0.227,3404,0.979,6495,247,0.038,3325,0.512,110938,9513,254,0.027,508,0.053,2153,52,0.024,70,0.033,1420,12,0.008,130,0.092
4_towns,Mansfield,25977,2178,0.084,2099,0.081,12723,0.49,13254,0.51,1346,0.052,20093,0.773,1124,0.043,3414,0.131,2849,0.11,5514,3035,0.55,2334,0.436,5082,0.922,7248,327,0.045,3992,0.551,56807,13232,2935,0.222,4844,0.366,2037,134,0.066,431,0.212,2008,82,0.041,337,0.168
4_towns,Somers,11137,1862,0.167,2119,0.19,6448,0.579,4689,0.421,688,0.062,9400,0.844,725,0.065,324,0.029,584,0.052,3466,3049,0.88,890,0.262,3410,0.984,8434,811,0.096,2941,0.349,105164,9287,205,0.022,846,0.091,1853,29,0.016,129,0.07,2001,70,0.035,221,0.11
4_towns,Stafford,11890,2207,0.186,1935,0.163,5578,0.469,6312,0.531,378,0.032,11007,0.926,96,0.008,409,0.034,281,0.024,4662,3440,0.738,1434,0.315,4389,0.941,8114,674,0.083,1863,0.23,72806,11634,786,0.068,2400,0.206,2103,156,0.074,644,0.306,1794,91,0.051,382,0.213
4_towns,Tolland,14766,3527,0.239,2208,0.15,7434,0.503,7332,0.497,263,0.018,13675,0.926,116,0.008,712,0.048,616,0.042,5159,4771,0.925,992,0.194,5128,0.994,10040,197,0.02,4770,0.475,115718,14634,360,0.025,1043,0.071,3527,32,0.009,199,0.056,2085,46,0.022,207,0.099
4_towns,Union,873,137,0.157,262,0.3,419,0.48,454,0.52,10,0.011,824,0.944,5,0.006,34,0.039,55,0.063,360,349,0.969,78,0.218,352,0.978,675,27,0.04,239,0.354,90714,873,17,0.019,62,0.071,137,3,0.022,8,0.058,262,12,0.046,32,0.122
4_towns,Vernon,29157,5319,0.182,5173,0.177,13960,0.479,15197,0.521,2617,0.09,21922,0.752,1765,0.061,2853,0.098,3133,0.107,13086,6802,0.52,4740,0.368,11984,0.916,21373,1535,0.072,7791,0.365,62566,28822,2608,0.09,7719,0.268,5261,491,0.093,1849,0.351,4900,355,0.072,1071,0.219
4_towns,Willington,5912,752,0.127,755,0.128,3322,0.562,2590,0.438,425,0.072,4962,0.839,32,0.005,493,0.083,707,0.12,2483,1641,0.661,765,0.323,2442,0.983,3836,275,0.072,1435,0.374,74940,5898,772,0.131,1567,0.266,738,103,0.14,133,0.18,755,59,0.078,193,0.256
4_towns,Ashford,4234,776,0.183,571,0.135,2181,0.515,2053,0.485,233,0.055,3846,0.908,35,0.008,120,0.028,188,0.044,1780,1302,0.731,509,0.303,1754,0.985,3191,232,0.073,1056,0.331,68269,4208,420,0.1,909,0.216,750,84,0.112,195,0.26,571,53,0.093,160,0.28
4_towns,Brooklyn,8243,1584,0.192,1574,0.191,4794,0.582,3449,0.418,178,0.022,7534,0.914,172,0.021,359,0.044,399,0.048,3126,2332,0.746,1118,0.367,2854,0.913,6197,522,0.084,1496,0.241,72090,7607,610,0.08,1330,0.175,1493,97,0.065,243,0.163,1495,138,0.092,332,0.222
4_towns,Canterbury,5074,1074,0.212,824,0.162,2459,0.485,2615,0.515,30,0.006,4839,0.954,60,0.012,145,0.029,129,0.025,1839,1623,0.883,456,0.252,1816,0.987,3642,330,0.091,787,0.216,92835,5065,166,0.033,466,0.092,1065,11,0.01,109,0.102,824,32,0.039,125,0.152
4_towns,Chaplin,2329,352,0.151,393,0.169,1307,0.561,1022,0.439,183,0.079,2092,0.898,0,0,54,0.023,67,0.029,910,819,0.9,270,0.299,897,0.986,1854,161,0.087,514,0.277,68889,2329,123,0.053,421,0.181,352,0,0,83,0.236,393,18,0.046,81,0.206
4_towns,Eastford,1721,256,0.149,300,0.174,910,0.529,811,0.471,71,0.041,1634,0.949,3,0.002,13,0.008,54,0.031,698,570,0.817,171,0.247,662,0.948,1324,60,0.045,442,0.334,86667,1692,49,0.029,195,0.115,245,0,0,33,0.135,300,16,0.053,46,0.153
4_towns,Hampton,1861,295,0.159,357,0.192,987,0.53,874,0.47,56,0.03,1736,0.933,6,0.003,63,0.034,53,0.028,773,672,0.869,181,0.243,757,0.979,1444,69,0.048,405,0.28,75288,1860,68,0.037,308,0.166,294,11,0.037,46,0.156,357,14,0.039,65,0.182
4_towns,Killingly,17170,3836,0.223,2655,0.155,8141,0.474,9029,0.526,620,0.036,15185,0.884,303,0.018,1062,0.062,922,0.054,6875,4715,0.686,2465,0.365,6447,0.938,12340,1746,0.141,2636,0.214,61709,16763,1623,0.097,3723,0.222,3727,442,0.119,1047,0.281,2385,188,0.079,712,0.299
4_towns,Plainfield,15114,3116,0.206,2676,0.177,7235,0.479,7879,0.521,906,0.06,13301,0.88,257,0.017,650,0.043,560,0.037,5710,3962,0.694,1648,0.295,5345,0.936,10875,1541,0.142,1429,0.131,67551,14876,1366,0.092,3784,0.254,3036,278,0.092,1176,0.387,2523,279,0.111,714,0.283
4_towns,Pomfret,4173,884,0.212,613,0.147,2242,0.537,1931,0.463,116,0.028,3958,0.948,27,0.006,72,0.017,99,0.024,1665,1279,0.768,521,0.319,1588,0.954,2793,131,0.047,1252,0.448,78958,3985,217,0.054,779,0.195,822,0,0,121,0.147,613,36,0.059,148,0.241
4_towns,Putnam,9360,1633,0.174,1687,0.18,4279,0.457,5081,0.543,260,0.028,8741,0.934,31,0.003,328,0.035,314,0.034,3949,2377,0.602,1216,0.319,3475,0.88,7014,547,0.078,1719,0.245,59753,9140,800,0.088,2532,0.277,1609,284,0.177,791,0.492,1552,125,0.081,453,0.292
4_towns,Scotland,1653,284,0.172,341,0.206,831,0.503,822,0.497,64,0.039,1578,0.955,0,0,11,0.007,46,0.028,634,581,0.916,157,0.253,634,1,1198,89,0.074,330,0.275,89000,1651,58,0.035,176,0.107,282,16,0.057,38,0.135,341,14,0.041,25,0.073
4_towns,Sterling,3762,887,0.236,442,0.117,1921,0.511,1841,0.489,91,0.024,3524,0.937,101,0.027,46,0.012,31,0.008,1405,1207,0.859,460,0.349,1358,0.967,2623,245,0.093,486,0.185,77985,3756,152,0.04,604,0.161,881,12,0.014,103,0.117,442,29,0.066,92,0.208
4_towns,Thompson,9343,1869,0.2,1422,0.152,4766,0.51,4577,0.49,135,0.014,8986,0.962,12,0.001,210,0.022,108,0.012,3551,2800,0.789,795,0.226,3438,0.968,6833,770,0.113,1899,0.278,80941,9244,405,0.044,1415,0.153,1798,19,0.011,225,0.125,1422,109,0.077,429,0.302
4_towns,Windham,24688,5012,0.203,3051,0.124,11628,0.471,13060,0.529,10234,0.415,12356,0.5,1077,0.044,1021,0.041,2701,0.109,8491,4057,0.478,3945,0.472,7387,0.87,14021,2561,0.183,2836,0.202,44091,21246,5287,0.249,10390,0.489,4954,1744,0.352,3376,0.681,2753,250,0.091,658,0.239
4_towns,Woodstock,7813,1661,0.213,1351,0.173,3879,0.496,3934,0.504,191,0.024,7485,0.958,0,0,137,0.018,224,0.029,3043,2664,0.875,583,0.197,2877,0.945,5636,188,0.033,2267,0.402,89531,7813,347,0.044,718,0.092,1661,114,0.069,175,0.105,1351,57,0.042,165,0.122
